Date,Total Minutes Listened
2024-09-04 00:00:00,5.36
2024-09-09 00:00:00,2.5
2024-09-10 00:00:00,4.1
2024-09-12 00:00:00,3.55
2024-09-25 00:00:00,5.66
2024-09-26 00:00:00,89.47999999999998
2024-09-27 00:00:00,16.48
2024-09-28 00:00:00,5.66
2024-09-29 00:00:00,3.17
2024-10-03 00:00:00,27.12
2024-10-05 00:00:00,6.109999999999999
2024-10-08 00:00:00,18.71
2024-10-09 00:00:00,9.23
2024-10-10 00:00:00,5.66
2024-10-15 00:00:00,8.52
2024-10-16 00:00:00,11.83
2024-10-17 00:00:00,2.83
2024-10-18 00:00:00,2.83
2024-10-19 00:00:00,5.08
2024-10-20 00:00:00,3.53
2024-10-23 00:00:00,14.82
2024-10-24 00:00:00,19.33
2024-10-29 00:00:00,2.83
2024-10-30 00:00:00,14.37
2024-10-31 00:00:00,1.49
2024-11-01 00:00:00,20.13
2024-11-04 00:00:00,3.55
2024-11-05 00:00:00,4.96
2024-11-06 00:00:00,35.07
2024-11-07 00:00:00,3.57
2024-11-08 00:00:00,0.73
2024-11-09 00:00:00,2.83
2024-11-12 00:00:00,6.97
2024-11-13 00:00:00,21.29
2024-11-14 00:00:00,9.8
2024-11-16 00:00:00,14.56
2024-11-18 00:00:00,2.83
2024-11-20 00:00:00,16.47
2024-11-21 00:00:00,12.330000000000002
2024-11-23 00:00:00,0.0
2024-11-24 00:00:00,2.7809166666666667
2024-11-25 00:00:00,3.246366666666667
2024-11-26 00:00:00,7.180416666666667
2024-11-27 00:00:00,8.6057
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,10.212566666666667
2024-11-30 00:00:00,6.99905
2024-12-01 00:00:00,0.0
2024-12-02 00:00:00,10.212566666666667
