Date,Total Minutes Listened
2024-09-03 00:00:00,14.829999999999998
2024-09-04 00:00:00,3.79
2024-09-05 00:00:00,29.21
2024-09-06 00:00:00,3.29
2024-09-07 00:00:00,29.71
2024-09-09 00:00:00,17.740000000000002
2024-09-10 00:00:00,12.57
2024-09-11 00:00:00,17.21
2024-09-12 00:00:00,2.65
2024-09-15 00:00:00,2.63
2024-09-16 00:00:00,3.04
2024-09-17 00:00:00,7.04
2024-09-18 00:00:00,37.24999999999999
2024-09-19 00:00:00,5.42
2024-09-21 00:00:00,0.75
2024-09-24 00:00:00,31.82
2024-09-25 00:00:00,36.11
2024-09-26 00:00:00,8.719999999999999
2024-09-27 00:00:00,18.7
2024-09-28 00:00:00,1.51
2024-09-29 00:00:00,3.21
2024-10-02 00:00:00,8.2
2024-10-03 00:00:00,16.38
2024-10-06 00:00:00,5.79
2024-10-08 00:00:00,5.73
2024-10-09 00:00:00,25.14
2024-10-10 00:00:00,12.679999999999998
2024-10-15 00:00:00,19.99
2024-10-16 00:00:00,31.67
2024-10-17 00:00:00,13.26
2024-10-18 00:00:00,2.63
2024-10-19 00:00:00,3.62
2024-10-20 00:00:00,10.2
2024-10-23 00:00:00,19.72
2024-10-24 00:00:00,3.13
2024-10-27 00:00:00,5.25
2024-10-28 00:00:00,2.12
2024-10-29 00:00:00,6.599999999999999
2024-10-30 00:00:00,39.6
2024-11-01 00:00:00,16.7
2024-11-04 00:00:00,3.62
2024-11-05 00:00:00,3.04
2024-11-06 00:00:00,42.41000000000001
2024-11-07 00:00:00,5.14
2024-11-08 00:00:00,3.62
2024-11-09 00:00:00,0.89
2024-11-10 00:00:00,0.14
2024-11-12 00:00:00,1.97
2024-11-13 00:00:00,17.189999999999998
2024-11-14 00:00:00,25.67
2024-11-17 00:00:00,6.6
2024-11-18 00:00:00,7.04
2024-11-19 00:00:00,5.54
2024-11-20 00:00:00,26.15
2024-11-21 00:00:00,18.67
2024-11-23 00:00:00,0.0
2024-11-24 00:00:00,3.4216
2024-11-25 00:00:00,0.0
2024-11-26 00:00:00,5.4971
2024-11-27 00:00:00,16.090033333333334
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,12.7749
2024-11-30 00:00:00,5.218866666666667
2024-12-01 00:00:00,0.0
2024-12-02 00:00:00,11.195166666666667
