Date,Total Minutes Listened
2024-09-03 00:00:00,0.03
2024-09-04 00:00:00,3.38
2024-09-05 00:00:00,6.76
2024-09-07 00:00:00,6.76
2024-09-10 00:00:00,8.35
2024-09-11 00:00:00,0.02
2024-09-12 00:00:00,27.17
2024-09-18 00:00:00,34.09
2024-09-19 00:00:00,6.07
2024-09-24 00:00:00,15.709999999999996
2024-09-25 00:00:00,6.74
2024-09-26 00:00:00,9.51
2024-09-27 00:00:00,9.19
2024-10-02 00:00:00,23.36
2024-10-03 00:00:00,2.75
2024-10-06 00:00:00,4.82
2024-10-08 00:00:00,2.79
2024-10-09 00:00:00,18.99
2024-10-10 00:00:00,6.19
2024-10-15 00:00:00,9.78
2024-10-16 00:00:00,16.7
2024-10-17 00:00:00,8.43
2024-10-19 00:00:00,2.75
2024-10-20 00:00:00,9.04
2024-10-23 00:00:00,8.95
2024-10-27 00:00:00,2.91
2024-10-29 00:00:00,6.13
2024-10-30 00:00:00,9.53
2024-11-01 00:00:00,6.14
2024-11-06 00:00:00,30.84
2024-11-09 00:00:00,0.89
2024-11-10 00:00:00,0.23
2024-11-13 00:00:00,12.16
2024-11-14 00:00:00,12.259999999999998
2024-11-16 00:00:00,0.42
2024-11-18 00:00:00,2.75
2024-11-20 00:00:00,19.57
2024-11-21 00:00:00,9.52
2024-11-23 00:00:00,0.0
2024-11-24 00:00:00,0.0
2024-11-25 00:00:00,0.0
2024-11-26 00:00:00,6.1355
2024-11-27 00:00:00,6.1355
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,6.1355
2024-11-30 00:00:00,16.512533333333334
2024-12-01 00:00:00,3.397333333333333
2024-12-02 00:00:00,6.1355
