Date,Total Minutes Listened
2024-09-03 00:00:00,8.72
2024-09-05 00:00:00,2.25
2024-09-06 00:00:00,8.84
2024-09-07 00:00:00,5.69
2024-09-09 00:00:00,27.82
2024-09-10 00:00:00,8.82
2024-09-11 00:00:00,11.46
2024-09-12 00:00:00,14.74
2024-09-13 00:00:00,2.87
2024-09-18 00:00:00,8.58
2024-09-19 00:00:00,7.09
2024-09-22 00:00:00,4.39
2024-09-24 00:00:00,12.48
2024-09-25 00:00:00,37.53
2024-09-26 00:00:00,0.08
2024-09-27 00:00:00,11.62
2024-09-28 00:00:00,2.85
2024-09-29 00:00:00,0.01
2024-10-02 00:00:00,0.06
2024-10-03 00:00:00,3.01
2024-10-04 00:00:00,0.0999999999999999
2024-10-09 00:00:00,16.97
2024-10-10 00:00:00,3.6399999999999992
2024-10-15 00:00:00,2.51
2024-10-16 00:00:00,6.15
2024-10-17 00:00:00,2.95
2024-10-20 00:00:00,3.59
2024-10-23 00:00:00,0.17
2024-10-27 00:00:00,14.3
2024-10-29 00:00:00,0.02
2024-10-30 00:00:00,0.07
2024-11-05 00:00:00,3.59
2024-11-06 00:00:00,20.76
2024-11-10 00:00:00,18.4
2024-11-12 00:00:00,2.56
2024-11-13 00:00:00,24.84
2024-11-14 00:00:00,14.82
2024-11-16 00:00:00,4.27
2024-11-19 00:00:00,5.64
2024-11-20 00:00:00,15.239999999999998
2024-11-21 00:00:00,6.6
2024-11-23 00:00:00,0.0
2024-11-24 00:00:00,2.7809166666666667
2024-11-25 00:00:00,0.0
2024-11-26 00:00:00,0.0
2024-11-27 00:00:00,3.009333333333333
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,7.857766666666667
2024-11-30 00:00:00,16.178566666666665
2024-12-01 00:00:00,3.0302
2024-12-02 00:00:00,2.7809166666666667
