Date,Total Minutes Listened
2024-09-03 00:00:00,8.55
2024-09-04 00:00:00,0.5
2024-09-05 00:00:00,6.819999999999999
2024-09-07 00:00:00,26.4
2024-09-08 00:00:00,2.88
2024-09-09 00:00:00,2.5
2024-09-10 00:00:00,3.42
2024-09-11 00:00:00,3.72
2024-09-12 00:00:00,3.26
2024-09-15 00:00:00,2.63
2024-09-17 00:00:00,5.51
2024-09-18 00:00:00,20.12
2024-09-24 00:00:00,3.42
2024-09-25 00:00:00,27.28
2024-10-02 00:00:00,5.85
2024-10-03 00:00:00,14.91
2024-10-04 00:00:00,2.85
2024-10-05 00:00:00,0.02
2024-10-06 00:00:00,2.8
2024-10-08 00:00:00,7.09
2024-10-09 00:00:00,29.31
2024-10-10 00:00:00,16.35
2024-10-11 00:00:00,0.65
2024-10-13 00:00:00,0.0
2024-10-16 00:00:00,21.27
2024-10-17 00:00:00,13.2
2024-10-18 00:00:00,5.21
2024-10-20 00:00:00,15.8
2024-10-23 00:00:00,10.83
2024-10-27 00:00:00,16.61
2024-10-29 00:00:00,5.26
2024-10-30 00:00:00,22.09
2024-11-01 00:00:00,6.6
2024-11-04 00:00:00,10.25
2024-11-05 00:00:00,3.69
2024-11-06 00:00:00,43.80000000000001
2024-11-07 00:00:00,5.140000000000001
2024-11-08 00:00:00,9.35
2024-11-12 00:00:00,17.61
2024-11-13 00:00:00,28.87
2024-11-14 00:00:00,23.19
2024-11-15 00:00:00,0.82
2024-11-16 00:00:00,6.0600000000000005
2024-11-18 00:00:00,10.59
2024-11-19 00:00:00,3.09
2024-11-20 00:00:00,39.64999999999999
2024-11-21 00:00:00,20.219999999999995
2024-11-24 00:00:00,9.081433333333331
2024-11-25 00:00:00,0.0
2024-11-26 00:00:00,6.2313833333333335
2024-11-27 00:00:00,12.279866666666669
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,17.294933333333333
2024-11-30 00:00:00,0.0
2024-12-01 00:00:00,0.0
2024-12-02 00:00:00,14.5181
