Date,Total Minutes Listened
2024-09-03 00:00:00,9.34
2024-09-05 00:00:00,7.88
2024-09-07 00:00:00,3.17
2024-09-11 00:00:00,3.17
2024-09-12 00:00:00,11.89
2024-09-18 00:00:00,18.61
2024-09-24 00:00:00,9.26
2024-10-02 00:00:00,39.400000000000006
2024-10-03 00:00:00,11.4
2024-10-04 00:00:00,15.92
2024-10-08 00:00:00,7.94
2024-10-09 00:00:00,29.22
2024-10-10 00:00:00,22.49
2024-10-15 00:00:00,7.88
2024-10-16 00:00:00,21.79
2024-10-17 00:00:00,7.109999999999999
2024-10-18 00:00:00,13.99
2024-10-20 00:00:00,20.31
2024-10-23 00:00:00,5.34
2024-10-29 00:00:00,6.76
2024-10-30 00:00:00,19.2
2024-11-01 00:00:00,13.23
2024-11-05 00:00:00,0.12
2024-11-06 00:00:00,29.44
2024-11-10 00:00:00,3.38
2024-11-12 00:00:00,3.31
2024-11-13 00:00:00,13.01
2024-11-14 00:00:00,21.22
2024-11-16 00:00:00,12.39
2024-11-17 00:00:00,3.94
2024-11-19 00:00:00,3.81
2024-11-20 00:00:00,30.03
2024-11-21 00:00:00,7.109999999999999
2024-11-23 00:00:00,0.0
2024-11-24 00:00:00,0.0
2024-11-25 00:00:00,3.9382166666666665
2024-11-26 00:00:00,9.27875
2024-11-27 00:00:00,13.216966666666668
2024-11-28 00:00:00,0.0
2024-11-29 00:00:00,3.9382166666666665
2024-11-30 00:00:00,0.0
2024-12-01 00:00:00,0.0
2024-12-02 00:00:00,7.1071
